key,parameter_code,process_code,flow_code,source_region_code,target_country_code,value,unit,source
"CAPEX,RES-HYBR,,IND,",CAPEX,RES-HYBR,,IND,,695.4935988687811,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,JOR,",CAPEX,RES-HYBR,,JOR,,1298.575374233374,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,KAZ,",CAPEX,RES-HYBR,,KAZ,,1107.0476299758607,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,KEN,",CAPEX,RES-HYBR,,KEN,,1298.575374233374,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR,",CAPEX,RES-HYBR,,MAR,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-BEN,",CAPEX,RES-HYBR,,MAR-BEN,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-CAS,",CAPEX,RES-HYBR,,MAR-CAS,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-DAK,",CAPEX,RES-HYBR,,MAR-DAK,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-DRA,",CAPEX,RES-HYBR,,MAR-DRA,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-FES,",CAPEX,RES-HYBR,,MAR-FES,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-GUE,",CAPEX,RES-HYBR,,MAR-GUE,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-LAA,",CAPEX,RES-HYBR,,MAR-LAA,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-LOR,",CAPEX,RES-HYBR,,MAR-LOR,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-MAR,",CAPEX,RES-HYBR,,MAR-MAR,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-RAB,",CAPEX,RES-HYBR,,MAR-RAB,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-SOU,",CAPEX,RES-HYBR,,MAR-SOU,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MAR-TAN,",CAPEX,RES-HYBR,,MAR-TAN,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MEX,",CAPEX,RES-HYBR,,MEX,,1059.9061510378335,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,MRT,",CAPEX,RES-HYBR,,MRT,,1298.575374233374,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,NAM,",CAPEX,RES-HYBR,,NAM,,1298.575374233374,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,NOR,",CAPEX,RES-HYBR,,NOR,,1077.650346838318,USD2021/kW,calculated. PV:  WIND-ON: 
